"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"ciliogenesis","ciliogenesis",,,,,,"cilogeneză",,,,,,,,
"cis","cis",,"proximal",,,,"cis",,"proximal",,,,,,
"clara","clear",,,,,,"clară",,,,,,,,
"classicus","classical",,,,,,"clasic",,,,,,,,
"clathrino","clathrin",,,,,,"clatrină",,,,,,,,
"claustri","barrier",,,,,,"barieră",,,,,,,,
"clitoridis","of clitoris",,,,,,"al clitorisului",,,,,,,,
"clonum","clone",,,,,,"clonă",,,,,,,,
"cochleocytus","cochleocyte",,,,,,"cohleocit",,,,,,,,
"collageni","collagen ",,,,,,"de colagen",,,,,,,,
"collagenosa","collagenous",,,,,,"colagenică",,,,,,,,
"collagenosum","collagenosum",,,,,,"colagenic",,,,,,,,
"collagenum","collagen",,,,,,"colagen",,,,,,,,
"collaterales","collaterals",,,,,,"colaterale",,,,,,,,
"collicularis","collicular",,,,,,"coliculară",,,,,,,,
"colligens","collecting",,,,,,"colector",,,,,,,,
"colloidea","colloid",,,,,,"coloidă",,,,,,,,
"colloidum","colloid",,,,,,"coloid",,,,,,,,
"coloniam","colony",,,,,,"colonie",,,,,,,,
"colonias","colonies",,,,,,"colonii",,,,,,,,
"colonocytus","colonocyte",,,,,,"colonocit",,,,,,,,
"colorectalis","colorectal",,,,,,"colorectală",,,,,,,,
"columella","column",,,,,,"columelă",,,,,,,,
"columnare","columnar",,,,,,"columnar",,,,,,,,
"columnaris","columnar",,,,,,"columnar",,,,,,,,
"commissurale","commissural",,,,,,"comisural",,,,,,,,
"compactum","compact",,,,,,"compactă",,,,,,,,
"compartimentans","compartment forming",,,,,,"compartiment-formatoare",,,,,,,,
"complexus","complex",,,,,,"complex",,,,,,,,
"concretio","concretion",,,,,,"concreție",,,,,,,,
"condensatio","condensation",,,,,,"condensare",,,,,,,,
"congregata","clump",,,,,,"agregată",,,,,,,,
"conica","conical",,,,,,"conică",,,,,,,,
"coniferi","cone",,,,,,"cu conuri",,,,,,,,
"coniferum","cone",,,,,,"cu conuri",,,,,,,,
"coniungens","connecting",,,,,,"conjugată",,,,,,,,
"conjectus","spread",,,,,,"dispersie",,"întindere",,,,,,
"conjugatio","conjugation",,,,,,"conjugare",,,,,,,,
"conjunctivae","conjunctival ",,,,,,"conjunctival ",,,,,,,,
"conjunctivus","connecting ",,"connective",,,,"conjunctiv",,,,,,,,
"connectens","connecting",,,,,,"conectant",,,,,,,,
"connectinum","connectin",,,,,,"conectină",,,,,,,,
"connectivi","connective",,,,,,"conjunctiv",,,,,,,,
"connectivorum","connective",,,,,,"conjunctiv",,,,,,,,
"connectivus","connectivus",,,,,,"conjunctiv",,,,,,,,
"connexina","connexins",,,,,,"conexine",,,,,,,,
"connexona","connexons",,,,,,"conexoni",,,,,,,,
"conorum","of cones",,,,,,"de conuri",,,,,,,,
"conorumque ","and cones",,,,,,"și conuri",,,,,,,,
"conotopicum","cone",,,,,,"cu conuri",,,,,,,,
"constituens","constitutive ",,,,,,"constitutivă",,,,,,,,
"contactus","contact",,,,,,"contact",,,,,,,,
"continua","continuous",,,,,,"continuă",,,,,,,,
"continuum","continuous",,,,,,"continuu",,,,,,,,
"contorta","coiled",,"convoluted ",,,,"contortă",,,,,,,,
"convoluta","coiled",,"convoluted ",,,,"contortă",,,,,,,,
"convolutae","convoluted ",,"Coiled",,,,"contortă",,,,,,,,
"convolutum","coiled",,,,,,"contort",,,,,,,,
"cor","heart",,,,,,"inimă",,,,,,,,
"corbiferum","basket ",,,,,,"coș",,,,,,,,
"corbiforme","basket ",,,,,,"coș",,,,,,,,
"corbis","basket ",,,,,,"coș",,,,,,,,
"cordis","of heart",,"cardiac",,,,"al cordului",,"cardiacă",,,,,,
"corneocytus","corneocyte",,,,,,"corneocit",,,,,,,,
"corneosoma","corneosome",,,,,,"corneozom",,,,,,,,
"corneum","horny",,"corneum",,,,"cornos",,,,,,,,
"cornificata","keratinized",,,,,,"cheratinizată",,,,,,,,
