"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"perifolliculare","perifollicular",,,,,,"perifolicular",,,,,,,,
"perigemmalis","perigemmal ",,,,,,"perigemală","r",,,,,,,
"periglomerulare","periglomerular",,,,,,"periglomerulară",,,,,,,,
"perilobularis","perilobular",,,,,,"perilobulară",,,,,,,,
"perilymphatica","perilymphatic ",,,,,,"perilimfatică",,,,,,,,
"perineuralis","perineurial ",,,,,,"perineurală",,,,,,,,
"perinucleare","perinuclear",,,,,,"perinuclear",,,,,,,,
"perinuclearis","perinuclear",,,,,,"perinuclear",,,,,,,,
"periodontale","periodontal ",,,,,,"periodontal",,,,,,,,
"periodus","period",,,,,,"perioadă",,,,,,,,
"periostea","periosteal ",,,,,,"periostală",,,,,,,,
"periostogingivalis","periostogingival ",,,,,,"periostogingivală",,,,,,,,
"peripalaeocorticalis","peripaleocortical ",,,,,,"peripaleocorticală ",,,,,,,,
"periphericum","peripheric",,,,,,"periferic",,,,,,,,
"periphericum","peripheral",,,,,,"periferic",,,,,,,,
"peripherini","peripherin",,,,,,"periferinic","r","de periferină",,,,,,
"peripolocytus","peripolar cell",,"peripolocyte",,,,"peripolocit","r","celulă peripolară",,,,,,
"periportale","periportal",,,,,,"periportal",,,,,,,,
"periseptalis","periseptal",,,,,,"periseptale",,,,,,,,
"perisinusoidalis","perisinusoidal",,,,,,"perisinusoidală",,,,,,,,
"perisinusoideum","perisinusoidal",,,,,,"perisinusoidal",,,,,,,,
"peritendo","peritendon",,,,,,"peritendon",,,,,,,,
"peritubulare","peritubular",,,,,,"peritubulară",,,,,,,,
"peritubularis","peritubular ",,,,,,"peritubular ",,,,,,,,
"perivasculare","perivascular ",,,,,,"perivascular ",,,,,,,,
"perivenosus","perivenous",,,,,,"perivenos",,,,,,,,
"peroxysoma","peroxisome",,"Microbody",,,,"peroxizom",,,,,,,,
"peroxysomatica","peroxysomal ",,,,,,"peroxizomală",,,,,,,,
"pertinentes","related ",,,,,,"anexe",,,,,,,,
"phagocyticus","phagocytic",,,,,,"fagocitică",,,,,,,,
"phagocytosis","phagocytosis",,,,,,"fagocitoză",,,,,,,,
"phagosoma","phagosome",,,,,,"fagozom",,,,,,,,
"phakinini","phakinin",,,,,,"fachinin","r",,,,,,,
"pharyngeale","pharyngeal",,,,,,"faringian",,,,,,,,
"pharynx","pharynx",,,,,,"faringe",,,,,,,,
"phasis","stage",,,,,,"fază",,,,,,,,
"pia","pia",,,,,,"pia",,,,,,,,
"pigmentata","pigmented",,,,,,"pigmentară",,,,,,,,
"pigmenti","pigment",,,,,,"pigmentată",,,,,,,,
"pigmentocytus","pigment cell",,"pigmentocyte","*",,,"pigmentocit","r","celulă pigmentară",,,,,,
"pigmentosi","pigmented","*",,,,,"pigmentar",,,,,,,,
"pigmentum","pigment",,,,,,"pigment",,,,,,,,
"pilae","pillar ",,,,,,"columnar",,,,,,,,
"pilaris","pilary",,"Hair",,,,"columnar",,"piloasă",,,,,,
"pilosa","hair",,,,,,"piloasă",,,,,,,,
"pilosebacea","pilosebaceous",,,,,,"pilosebacee",,,,,,,,
"pineale","pineal",,,,,,"pineală",,,,,,,,
"pinealis","pineal",,,,,,"pineal",,,,,,,,
"pinealocytus","pinealocyte",,,,,,"pinealocit",,"celulă pineală",,,,,,
"pinocytosis","pinocytosis",,,,,,"pinocitoză",,,,,,,,
"pinocytotica","pinocytotic",,,,,,"pinocitotică","r",,,,,,,
"pinosoma","pinosome",,,,,,"pinozom",,,,,,,,
"pituicytus","pituicyte",,,,,,"pituicit",,"celulă pituitară",,,,,,
"pituitaria","pituitary",,,,,,"pituitară",,,,,,,,
"placenta","placenta",,,,,,"placentă",,,,,,,,
"plasma","plasma",,,,,,"plasmă",,,,,,,,
"plasmalemma","plasmalemma",,,,,,"plasmalemă",,,,,,,,
"plasmoblastus","plasmablast",,"Plasmoblast",,,,"plasmoblast",,,,,,,,
"plasmocytopoiesis","plasmocytopoiesis",,,,,,"plasmocitopoieză",,,,,,,,
"plasmocytus","plasmocyte",,"Plasma cell",,,,"plasmocit",,"celulă plasmocitară",,,,,,
"plasmodium","plasmodium",,,,,,"plasmodiu",,,,,,,,
"plectinum","plectin",,,,,,"plectină",,,,,,,,
"plicata"," ",,,,,," ",,,,,,,,
"plicatura","fold",,,,,,"plică",,,,,,,,
"plicatus","folded",,,,,,"plicaturată",,,,,,,,
"plumosum","tufted",,,,,,"moțată",,,,,,,,
"pluras","several ",,,,,,"mai multe",,,,,,,,
"pluricellularis","multicellular",,,,,,"pluricelulară",,,,,,,,
"pluripotens","pluripotent",,"Multipotent",,,,"pluripotentă",,,,,,,,
"pml","pml",,"polimorphonuclear",,,,"pml",,"polimorfonuclear",,,,,,
"pneumocytica","alveolar cell",,"pneumocytic","*",,,"pneumocitic","r",,,,,,,
"pneumocytus","pneumocyte",,"Pneumocyte",,,,"pneumocit",,"celulă alveolară",,"celulă pneumocitară",,"celulă pulmonară",,
"podocytus","podocyte",,"Visceral cell of capsule",,,,"podocit",,,,,,,,
"podosoma","podosome",,,,,,"podozom",,,,,,,,
"podosomatica","podosome ",,,,,,"podozomatică",,,,,,,,
"polare","polar",,,,,,"polar",,,,,,,,
"polarisatio","polarization",,,,,,"polarizare",,,,,,,,
"polaritas","polarity",,,,,,"polaritate",,,,,,,,
"polocytus","polocyte",,,,,,"polocit",,"celulă polară",,,,,,
"polychromatophilus","polychromatophilic ",,,,,,"policromatofil",,,,,,,,
"polycrina","polycrine",,,,,,"policrină",,,,,,,,
"polycrinocytus","polycrine cell",,"polycrinocyte","*",,,"policrinocit","r","celulă policrină",,,,,,
"polyhedralis","polyhedral",,,,,,"poliedrică",,,,,,,,
"polymorphus","polymorphous ",,,,,,"polimorf",,,,,,,,
"polyploidia","polyploidy",,,,,,"poliploidie",,,,,,,,
"polypoideus","polypoid",,,,,,"polipoid",,,,,,,,
"polyribosoma","polyribosome",,"Polysome",,,,"poliribozom",,,,,,,,
"ponticulus","stalk",,,,,,"punte",,,,,,,,
"pori","pores",,"pore",,,,"pori",,"al porului",,,,,,
"portale","portal",,,,,,"portală",,,,,,,,
"postacrosomatica","postacrosomal ",,,,,,"postacrozomală",,,,,,,,
"postcapillare","postcapillary","*",,,,,"postcapilar",,,,,,,,
"postcapillaris","postcapillary",,,,,,"postcapilară",,,,,,,,
"posterior","posterior",,,,,,"posterior",,,,,,,,
"postganglionica","postganglionic",,,,,,"postganglionică",,,,,,,,
"postmaculare","postmacular ",,,,,,"postmacular ",,,,,,,,
"postmitotica","postmitotic",,,,,,"postmitotică",,,,,,,,
"postmitoticum","postmitotic",,,,,,"postmitotic",,,,,,,,
"postnatalis","postnatal",,,,,,"postnatale",,,,,,,,
"postreductio","postreduction",,,,,,"postreducere",,,,,,,,
"postsynaptica","postsynaptic ",,,,,,"postsinaptică",,,,,,,,
"postsynapticae","postsynaptic ",,,,,,"postsinaptică ",,,,,,,,
"postsynapticus","postsynaptic ",,,,,,"postsinaptic",,,,,,,,
"potocytosis","potocytosis",,,,,,"potocitoză",,,,,,,,
"praeteriens","en passant",,"passing","*",,,"în trecere",,,,,,,,
"preansale","prebend",,,,,,"preansal",,,,,,,,
"precapillare","precapillary",,,,,,"precapilar",,,,,,,,
"precapillaris","precapillary",,,,,,"precapilar",,,,,,,,
"precursoria","stem",,"precursor",,,,"precursoare",,"stem",,,,,,
"precursoriae","stem",,"precursor",,,,"precursoare",,"stem",,,,,,
"predecidualis","predecidual",,,,,,"predeciduală",,,,,,,,
"predentinalis","predentin",,,,,,"predentinală",,,,,,,,
"predentinum","predentine",,,,,,"predentină",,,,,,,,
"preganglionica","preganglionic",,,,,,"preganglionică",,,,,,,,
"prelymphaticum","prelymphatic ",,,,,,"prelimfatic",,,,,,,,
"premelanosoma","premelanosome",,,,,,"premelanozom",,,,,,,,
"premitoticum","premitotic ",,,,,,"premitotic ",,,,,,,,
"preosseum","preosseous",,,,,,"preosos",,,,,,,,
"prepiriformis","prepiriform",,,,,,"prepiriformă",,,,,,,,
"preprostatica","preprostatic",,,,,,"preprostatică",,,,,,,,
"preputialis","preputial ",,,,,,"prepuțială",,,,,,,,
"prereductio","prereduction",,,,,,"prereducere",,,,,,,,
"presubicularis","presubicular",,,,,,"presubicular",,,,,,,,
"presynaptica","presynaptic",,,,,,"presinaptică",,,,,,,,
"presynapticum","presynaptic",,,,,,"presinaptic",,,,,,,,
"preterminalis","preterminal",,,,,,"preterminală",,,,,,,,
"primordialis","primordial",,,,,,"primordial",,,,,,,,
"primum","first",,,,,,"prim",,,,,,,,
"principalis","main ",,"Principal",,,,"principală",,,,,,,,
"prisma","prism",,,,,,"prismă",,,,,,,,
"prismatica","prismatic ",,,,,,"prismatică",,,,,,,,
"prismaticus","prismatic ",,,,,,"prismatică",,,,,,,,
"proacrosomatica","proacrosomal ",,,,,,"proacrozomală ",,,,,,,,
"proacrosomaticum","proacrosomal ",,,,,,"proacrozomală ",,,,,,,,
"procentriolum","procentriole",,,,,,"procentriol",,,,,,,,
"procollagenum","procollagen",,,,,,"procolagen",,,,,,,,
"proerythroblastus","proerythroblast",,,,,,"proeritroblast",,,,,,,,
"progenetrix","progenitor",,,,,,"progenitoare",,,,,,,,
"progenies","lineages",,,,,,"generații precursoae",,,,,,,,
"prolactinicus","prolactin",,,,,,"prolactinic",,,,,,,,
"proleptonema","proleptotene",,,,,,"proleptonemă","r",,,,,,,
"proleptonemalis","proleptotene",,,,,,"proleptonemală",,,,,,,,
"proliferationis","proliferation",,,,,,"proliferativă",,,,,,,,
"proliferativa","proliferative",,"follicular",,,,"proliferativă",,"foliculară",,,,,,
"prometaphasis","prometaphase",,,,,,"prometafază",,,,,,,,
"promovens","promoting",,,,,,"promovator al",,,,,,,,
"promyelocytus","promyelocyte",,,,,,"promielocit",,"celulă promielocitară",,,,,,
"prophasis","prophase",,,,,,"profază",,,,,,,,
"proprecursoria","prestem",,,,,,"proprecursoare",,"prestem",,,,,,
"prostasoma","prostasome",,,,,,"prostazom",,,,,,,,
"prostaticum","prostatic","*",,,,,"prostatic",,,,,,,,
"prostatocytus","prostatocyte",,"Prostatic exocrine cell",,,,"prostatocit",,"celulă prostatică",,,,,,
"proteasoma","proteasome",,,,,,"proteazom",,,,,,,,
"proteina","proteins ",,,,,,"proteine",,,,,,,,
"proteini","protein",,,,,,"proteică",,,,,,,,
"proteino","protein",,,,,,"proteină",,,,,,,,
"proteinum","proteins",,,,,,"proteine",,,,,,,,
"proteoglycanum","proteoglycan",,,,,,"proteoglican",,,,,,,,
"prothrombocytus","proplatelet",,,,,,"protrombocit",,,,,,,,
"prothymocytus","prothymocyte",,,,,,"protimocit",,,,,,,,
"protoplasma","protoplasm",,,,,,"protoplasmă",,,,,,,,
"protoplasmicus","protoplasmic",,,,,,"protoplasmic",,,,,,,,
"protrusio","protrusion",,,,,,"protruzie",,,,,,,,
"proximale","proximal",,,,,,"proximal",,,,,,,,
"psalterium"," ",,,,,," ",,,,,,,,
"psammoma","inclusion body",,,,,,"corp nisipos",,"corp calcificat",,,,,,
"pseudopodium","pseudopod",,"pseudopodium",,,,"pseudopod",,,,,,,,
"pseudostratificatum","pseudostratified ",,,,,,"pseudostratificat",,,,,,,,
"pseudostria","pseudo band",,,,,,"pseudobandă",,,,,,,,
"pseudounipolare","pseudounipolar",,,,,,"pseudounipolar",,,,,,,,
"pulmonaris","pulmonary",,,,,,"pulmonar",,,,,,,,
"pulpae","of pulp",,,,,,"pulpară",,"a pulpei",,,,,,
"pulpale","of pulp",,,,,,"pulpar",,"al pulpei",,,,,,
"pulpocytus","pulp cell",,"pulpocyte","*",,,"pulpocit",,"celulă pulpară",,,,,,
"pyknoticus","pyknotic",,,,,,"picnotic",,,,,,,,
"pyloricae","pyloric",,,,,,"piloric",,,,,,,,
"pyramidis","of pyramid",,,,,,"piramidală",,"a piramidei",,,,,,
"q",,,,,,,,,,,,,,,
"quiescens","quiescent ",,"Resting",,,,"în repaus",,"de rezervă",,,,,,
"quinquestratificatus","five-layered ",,,,,,"cu cinci straturi",,,,,,,,
"r",,,,,,,,,,,,,,,
"racemiforme","bouquet",,,,,,"în buchet","r","racemiform",,,,,,
"racemosa","racemose",,"Flower spray ",,,,"racemoasă",,"racemiformă",,,,,,
"racemus","cluster",,,,,,"grup",,"buchet",,,,,,
"radians","radial",,"Radiating ",,,,"radial",,,,,,,,
"ramosa","branched",,,,,,"ramificat",,,,,,,,
"rara","rara",,,,,,"rară",,,,,,,,
"ratio","ratio",,,,,,"raport",,,,,,,,
"receptor","receptor",,,,,,"receptor",,,,,,,,
"receptore","receptor",,,,,,"receptor",,,,,,,,
"receptores","receptors",,,,,,"receptori",,,,,,,,
"reconjunctionis","recombination ",,,,,,"de recombinare","r",,,,,,,
"recticularis","recticularis",,,,,,"reticulară",,,,,,,,
"reductionalis","reductional ",,,,,,"reducționale",,,,,,,,
"region","region",,,,,,"regiune",,,,,,,,
"regularis","regular",,,,,,"regulat",,,,,,,,
"regulatrices","regulator",,,,,,"reglatoare",,,,,,,,
"reniformis","reniform",,,,,,"reniform",,,,,,,,
"residuale","residual",,,,,,"rezidual",,,,,,,,
"residuum","residue",,"Residual",,,,"reziduu",,,,,,,,
"resorptionis","resorption",,,,,,"de resorbție",,,,,,,,
"retardati","delayed",,,,,,"întârziată",,,,,,,,
"reticulocytus","reticulocyte",,"reticullar cell","*",,,"reticulocit",,"celulă reticulară",,,,,,
"reticulofibrosus","reticular fibrous","*",,,,,"reticulofibros",,,,,,,,
"reticulofilamentosa","reticulo-filamentous","*",,,,,"reticulofilamentoasă",,,,,,,,
"retinale","retinal",,,,,,"retinal",,,,,,,,
"retrosplenialis","retrosplenial",,,,,,"retrosplenial","r",,,,,,,
"reunientis","connecting",,,,,,"reunită","r",,,,,,,
"ribonuclearis","ribonuclear",,,,,,"ribonucleic",,,,,,,,
"ribosoma","ribosome",,,,,,"ribozom",,,,,,,,
"rimae","slit",,,,,,"fantă",,,,,,,,
"rotunda","round",,,,,,"rotundă",,,,,,,,
"rubrae","red",,,,,,"roșie",,,,,,,,
"s","s",,,,,,"s",,,,,,,"s",
"sacculiformis","bag",,,,,,"saciform",,,,,,,,
"salivaria","salivary",,,,,,"salivară",,,,,,,,
"sanguinei","blood",,,,,,"sangvin",,,,,,,,
"sanguinis","blood",,,,,,"sangvină",,,,,,,,
"sarcoglycani","sarcoglycan ",,,,,,"sarcoglican",,,,,,,,
"sarcolemma","sarcolemma",,,,,,"sarcolemă",,,,,,,,
"sarcolemmati","sarcolemmati",,,,,,"sarcolemală",,,,,,,,
"sarcolemmaticum","sarcolemmal","*",,,,,"sarcolemală",,,,,,,,
"sarcomerum","sarcomere",,,,,,"sarcomer",,,,,,,,
"sarcoplasma","sarcoplasm",,,,,,"sarcoplasmă",,,,,,,,
"sarcoplasmicum","sarcoplasmic ",,,,,,"sarcoplasmic ",,,,,,,,
"satelles","satellite",,,,,,"satelit",,,,,,,,
"satellites","satellite ",,,,,,"satelit",,,,,,,,
"satellitum","satellite ",,,,,,"satelit",,,,,,,,
"scapus","shaft",,,,,,"ax",,,,,,,,
"schizocortex","schizocortex",,,,,,"schizocortex",,,,,,,,
"schwannocytus","schwann cell",,,,,,"schwanocit","r","celulă Schwann",,,,,,
"scissionis","cleavage",,,,,,"de clivaj",,,,,,,,
"scutum","plate",,,,,,"scut",,"platoșă",,,,,,
"sebocytus","sebocyte",,"Sebaceous gland cell",,,,"sebocit",,"celulă sebacee",,,,,,
"sebum","sebum",,,,,,"sebuum",,,,,,,,
"secretans","secreting",,,,,,"secretant",,,,,,,,
"secretio","secretion",,,,,,"secreție",,,,,,,,
"secretoria","secretory ",,,,,,"secretoare",,,,,,,,
"secretorium","secretory ",,,,,,"secretoare",,,,,,,,
"secretorius","secretory ",,,,,,"secretor",,,,,,,,
"secundum","second",,,,,,"secund",,,,,,,,
"segmentatus","segmented ",,,,,,"segmentat",,,,,,,,
"segmentonuclearis","segmented ",,,,,,"segmentat nuclear",,,,,,,,
"semicortex","semicortex",,,,,,"semicortex",,,,,,,,
"semiluna","demilune",,,,,,"semilună",,,,,,,,
"semilunatum","semilunatum",,,,,,"semilunar",,,,,,,,
"senilis","senilis",,,,,,"senil",,,,,,,,
"sensorii","sensory",,,,,,"senzoriali",,,,,,,,
"sensorium","sensory",,,,,,"senzorial",,,,,,,,
"sensuum","sense",,,,,,"de simț",,,,,,,,
"septemstratificatus","seven-layered ",,,,,,"cu șapte straturi",,,,,,,,
"serocytus","serous cell",,"serocyte",,,,"serocit",,"celulă seroasă",,,,,,
"seromucocytus","seromucous cell",,"seromucocyte",,,,"seromucocit",,"celulă seromucoasă",,,,,,
"seromucosa","seromucous",,,,,,"seromucoasă",,,,,,,,
"serosae","serous",,,,,,"seroasă",,,,,,,,
"sessilis","sessile",,,,,,"sesilă",,,,,,,,
"sexuale","sexual",,,,,,"sexuală",,,,,,,,
"sialomucinum","sialomucin",,,,,,"sialomucină",,,,,,,,
"siderosoma","siderosome",,,,,,"siderozom",,,,,,,,
"singularis","dispersed ",,,,,,"singulară",,"dispersată",,,,,,
"smegma","smegma",,,,,,"smegmă",,,,,,,,
"solitarium","solitary",,,,,,"solitar",,,,,,,,
"somatica","somatic",,,,,,"somatică",,,,,,,,
"somaticum","somatic",,,,,,"somatic",,,,,,,,
"somatodendritica","somatodendritic ",,,,,,"somatodendritică",,,,,,,,
"somatosomatica","somatosomatic ",,,,,,"somatosomatică",,,,,,,,
"somatostatinocytus","somatostatin cell",,,,,,"somatostatinocit",,"celulă somatostatinică",,,,,,
"somatotropicus","somatotropic",,,,,,"somatotropă",,,,,,,,
"specialis","complex ",,,,,,"specială",,"complexă",,,,,,
"specialisationes","specializations",,,,,,"specializări",,,,,,,,
"specificus","specific",,,,,,"specifică",,,,,,,,
"spectrinum","spectrin",,,,,,"spectrină",,,,,,,,
"spectrum","ghost",,,,,,"spectru",,,,,,,,
"sperma","ejaculate",,,,,,"spermă",,"ejaculat",,,,,,
"spermatidium","spermatid",,,,,,"spermatidă",,,,,,,,
"spermatocytus","spermatocyte",,,,,,"spermatocit",,"celulă spermatică",,,,,,
"spermatogenesis","spermatogenesis",,,,,,"spermatogeneză",,,,,,,,
"spermatogeneticum","spermatogenic ",,,,,,"spermatogenică",,,,,,,,
"spermatogeneticus","spermatogenic ",,,,,,"spermatogenic ",,,,,,,,
"spermatogenica","spermatogenic ",,,,,,"spermatogenică",,,,,,,,
"spermatogenici","spermatogenic ",,,,,,"spermatogenic ",,,,,,,,
"spermatogenicum","spermatogenic ",,,,,,"spermatogenic ",,,,,,,,
"spermatogonica","spermatogonial ",,,,,,"spermatogonică",,,,,,,,
"spermatogonium","spermatogonium",,,,,,"spermatogonie",,,,,,,,
"spermatophagus","spermatophagous ",,,,,,"spermatofag",,,,,,,,
"spermatozoon","sperm cell",,,,,,"spermatozoon",,"gamet spermatic",,,,,,
"spermiogenesis","spermiogenesis",,,,,,"spermiogeneză",,,,,,,,
"spermium","sperm",,,,,,"spermă",,,,,,,,
"sphaera","sphere",,,,,,"sferă",,,,,,,,
"sphericum","spherical",,,,,,"sferic",,,,,,,,
"spherula","spherule",,,,,,"sferulă",,,,,,,,
"spinale","spinal",,,,,,"spinal",,,,,,,,
"spinula","spinule",,,,,,"spinulă",,,,,,,,
"spongiosum","spongious",,"spongiosum",,,,"spongios",,,,,,,,
"spontanea","generated spontaneously",,"spontaneous","*",,,"spontană",,"generată spontan",,,,,,
"squamosarum","squamous",,,,,,"scuamoasă",,,,,,,,
"squamosum","squamous",,,,,,"scuamos",,,,,,,,
"statocilium","immotile cilium",,,,,,"statocil","r","cil imobil",,,,,,
"status","stage",,,,,,"stadiu",,,,,,,,
"stellare","stellate",,,,,,"stelat",,,,,,,,
"stellata","stellate",,,,,,"stelată",,,,,,,,
"stellati","stellate",,,,,,"stelat",,,,,,,,
"stellatum","stellate",,,,,,"stelat",,,,,,,,
"stereociliatus","stereociliated",,"with stereocilia",,,,"stereociliat",,"cu stereocili",,,,,,
"stereocilii","stereociliar",,,,,,"stereociliare",,,,,,,,
"stereociliorum","of stereocilia",,,,,,"de stereocili",,,,,,,,
"stereocilium","stereocilium",,,,,,"stereocil",,,,,,,,
"stigma","stigma",,,,,,"stigmă","r","semn",,,,,,
"stipes","stalk",,,,,,"tulpină",,,,,,,,
"stratificatum","stratified",,,,,,"stratificat",,,,,,,,
"stratum","layer",,,,,,"strat",,,,,,,,
"striatus","striated ",,,,,,"striat",,,,,,,,
"stromatis","stromal",,,,,,"stromală",,,,,,,,
"strues","rouleau",,,,,,"fișic",,"șir",,,,,,
"subacrosomatica","subacrosomal",,,,,,"subacrozomal",,,,,,,,
"subaxolemmalis","subaxolemmal ",,,,,,"subaxolemal",,,,,,,,
"subcalicularis","subcalicular ",,,,,,"subcalicular ",,,,,,,,
"subcapsulare","subcapsular ",,,,,,"subcapsular ",,,,,,,,
"subcapsularis","subcapsular ",,,,,,"subcapsular ",,,,,,,,
"subchondralis","subchondral ",,,,,,"subcondral",,,,,,,,
"subclavium","subclavian ",,,,,,"subclavicular",,,,,,,,
"subconjunctivalis","subconjunctival ",,,,,,"subconjunctival ",,,,,,,,
"subcutaneum","subcutaneous ",,,,,,"subcutanată",,,,,,,,
"subcutis","subcutaneous ",,,,,,"subcutanat",,,,,,,,
"subdentinoblasticum","subdentinoblastic ",,,,,,"subdentinoblastic ",,,,,,,,
"subdentinoblasticus","subdentinoblasticus",,,,,,"subdentinoblasticus",,,,,,,,
"subendocardiaca","subendocardiac",,,,,,"subendocardic",,,,,,,,
"subendocardiacum","subendocardiac",,,,,,"subendocardic",,,,,,,,
"subendotheliale","subendothelial ",,,,,,"subendotelial ",,,,,,,,
"subependymale","subependymal ",,,,,,"subependimală",,,,,,,,
"subepicardiaca","subepicardiac",,,,,,"subepicardiac",,,,,,,,
"subepidermalis","subepidermal",,,,,,"subepidermal",,,,,,,,
"subepitheliale","subepithelial ",,,,,,"subepitelială",,,,,,,,
"subintima","subintimal ",,,,,,"subintimal ",,,,,,,,
"subjecta","dependent ",,,,,,"dependentă",,,,,,,,
"sublamina","sublayer",,,,,,"substrat",,,,,,,,
"sublobularis","sublobular",,,,,,"sublobulară",,,,,,,,
"submesothelialis","submesothelial ",,,,,,"submezotelială",,,,,,,,
"submetacentricum","submetacentric ",,,,,,"submetacentric ",,,,,,,,
"submucosa","submucosa",,"Submucosal",,"Submucous",,"submucoasă",,,,,,,,
"submucosae","submucosal",,,,,,"submucoasă",,,,,,,,
"submucosum","submucosal",,,,,,"submucos",,,,,,,,
"subpapillare","subpapillary",,,,,,"subpapilar",,,,,,,,
"subpapillaris","subpapillary",,,,,,"subpapilar",,,,,,,,
"subpiale","subpial",,,,,,"subpial",,,,,,,,
"subplasmalemmalis","subplasmalemmal ",,,,,,"subplasmalemală",,,,,,,,
"subserosum","subserosal ",,,,,,"subseros",,,,,,,,
"substantia","substance",,,,,,"substanță",,,,,,,,
"substantiam","substance",,"matter",,,,"substanță",,,,,,,,
"substratum","sublayer",,,,,,"substrat",,,,,,,,
"substriata","substriated",,,,,,"substriat",,,,,,,,
"subsynaptica","subsynaptic ",,,,,,"subsinaptică",,,,,,,,
"sulculare","sulcular ",,,,,,"canalar",,,,,,,,
"superficiales","superficial",,,,,,"superficiale",,,,,,,,
"superficialis","superficial ",,,,,,"superficială",,,,,,,,
"superficiei","surface",,,,,,"superficial",,,,,,,,
"superficies","surface",,,,,,"suprafață",,,,,,,,
"superius","superior ",,,,,,"superior ",,,,,,,,
"supprimens","suppressor",,,,,,"supresoare",,,,,,,,
"supraalveolaris","supraalveolar",,,,,,"supraalveolară",,,,,,,,
"suprabasale","suprabasal",,,,,,"suprabazal",,,,,,,,
"supracardiacum","supracardiac ",,,,,,"supracardiac ",,,,,,,,
"supraependymalis","supra-ependymal ",,,,,,"supraependimală",,,,,,,,
"suprarenalis","suprarenal",,,,,,"suprarenală",,,,,,,,
"suprastriata","suprastriatal",,,,,,"suprastriată",,,,,,,,
"supratransitionalis","supratransitional ",,,,,,"supratranzițională",,,,,,,,
"supravasculosum","supravascular ",,,,,,"supravascular ",,,,,,,,
"surfactantum","surfactant",,,,,,"surfactant",,,,,,,,
"sustenans","supporting",,,,,,"susținătoare",,,,,,,,
"sustentocyticus","sustentacular ",,,,,,"susținător",,"sustentacular","r","suportiv",,,,
"sustentocytus","sustentocyte",,"Supporting cell",,,,"sustenocit","r","suportivă",,,,,,
"sustinentes","supporting",,,,,,"susținătoare",,"suportive",,,,,,
"symmetrica","symmetrical ",,,,,,"simetrică",,,,,,,,
"synapses","synapses",,,,,,"sinapse",,,,,,,,
"synaptica","synaptic",,,,,,"sinaptică",,,,,,,,
"synapticae","synaptic",,,,,,"sinaptice",,,,,,,,
"synapticum","synaptic",,,,,,"sinaptic",,,,,,,,
"synapticus","synapticus",,,,,,"sinaptic",,,,,,,,
"synaptonemalis","synaptonemal ",,,,,,"sinaptonemal","r",,,,,,,
"synaptosoma","synaptosome",,,,,,"sinaptozom",,,,,,,,
"syncoilini","syncoilin",,,,,,"sincoilinic","rp","de sincoilină","r",,,,,
"syncytium","syncytium",,,,,,"sincițiu",,,,,,,,
"synemini","synemin",,,,,,"sineminic","rp","de sinemină","r",,,,,
"synoviocytus","synoviocyte",,"synovial cell",,,,"sinovinocit",,"celulă sinovială",,,,,,
"synthetica","synthesis",,,,,,"de sinteză",,"sintetică",,,,,,
"syntrophinum","syntrophin",,,,,,"sintrofină","r",,,,,,,
"systemati","system",,,,,,"sistem",,,,,,,,
"t","t",,,,,,"t",,,,,,,"t",
"tactile","tactile",,,,,,"tactil",,,,,,,,
"tactus","tactile ",,,,,,"tactil",,,,,,,,
"tanycytus","tanycyte",,,,,,"tanicit",,,,,,,,
"tarda","late",,,,,,"tardivă",,"întârziată",,,,,,
"tardum","late",,,,,,"tardiv",,"matur",,"întârziat",,,,
"tectinum","tectin",,,,,,"tectină",,,,,,,,
"tegumentum","envelope",,"sheath",,,,"tegument","*","teacă",,"anvelopă",,"membrană",,
"telocentricum","telocentric ",,,,,,"telocentric ",,,,,,,,
"telodendron","terminal arborization",,,,,,"telodendron","r","ramură terminală",,,,,,
"telogenus","telogen",,,,,,"telogenic","r",,,,,,,
"telolysosoma","telolysosome",,"Residual body",,,,"telolizozom",,"corpuscul rezidual",,,,,,
"telomerus","telomere",,,,,,"telomer",,,,,,,,
"telophasis","telophase",,,,,,"telofază",,,,,,,,
"telophragma","telophragme","*",,,,,"telofragmă","r",,,,,,,
"tendinocytus","tendinocyte",,"Tendon cell",,,,"tendinocit",,"celulă tendinoasă",,,,,,
"tendinomuscularis","musculotendinous ",,,,,,"tendinomusculară",,"musculotendinoasă",,,,,,
"tensionis","stress",,,,,,"de tensiune",,,,,,,,
"terminans","late",,,,,,"terminală",,,,,,,,
"territorialis","territorial",,,,,,"teritorială",,,,,,,,
"tertiaria","tertiary",,,,,,"terțiară",,,,,,,,
"tertiarium","tertiary",,,,,,"terțiară",,,,,,,,
"tertiarius","tertiarius",,,,,,"terțiar",,,,,,,,
"tetraploidia","tetraploidy",,,,,,"tetraploidie",,,,,,,,
"tetras","tetrad",,,,,,"tetradă",,,,,,,,
"textus","tissue ",,,,,,"țesut",,,,,,,,
"textuum","tissue ",,,,,,"ale țesutului",,,,,,,,
"theca","theca",,,,,,"teacă",,,,,,,,
"thecalis","thecal",,,,,,"tecală",,,,,,,,
"thecaluteocytus","theca lutein cell",,"Paraluteal cell",,"thecaluteocyte","*","tecaluteocit","r","celulă tecală luteală",,"celulă paraluteală",,,,
"thecogenicus","thecogenic",,,,,,"tecogenic","r",,,,,,,
